Id,Solo_danos,Herido,Muerto,Direccion,Latitud,Longitud,Dia,Mes,A_o,Choque,Atropello,Volcamiento,caida de ocupante,Otro,Rural,Urbana,Masculino,Femenino,<18,18-30,31-60,>60,Tipo_vehiculo,Publico,Particular,Oficial,Diplomatico
737,,1,,"CHAGUALA VIA CIRCASIA - CALARCA KM 0+740,Calarcá,Quindio",4.5008036,-75.6986632,12,10,2024,1,,,,,,1,2,,,2,,,MOTOCICLETA,,1,,
738,,1,,"CRA 25 ENTRE CLLS 40 Y 41 CALARCA,Calarcá,Quindio",4.5266936,-75.6409574,14,10,2024,1,,,,,,1,1,1,,1,1,,AUTOMOVIL - MOTOCICLETA,,1,,
739,,1,,"CRA 26 # 37+56,Calarcá,Quindio",4.5394614,-75.6377305,15,10,2024,1,,,,,,1,1,2,,1,1,1,CAMPERO - MOTOCICLETA,,2,,
740,,1,,"VIA LA URIBE–CALARCA KM 80+600,Calarcá,Quindio",4.521325,-75.643762,16,10,2024,1,,,,,1,,1,1,,1,1,,AUTOMOVIL - MOTOCICLETA,,2,,
741,,1,,"VIA LA URIBE - CALRCA KM 85+400,Calarcá,Quindio",4.524047,-75.638299,16,10,2024,1,,,,,,1,2,1,1,,2,,AUTOMOVIL - CAMION,1,1,,
742,,1,,"KM 70+100 URIBE -CALARCA ENTRADA CALLE LARGA BARCELONA,Calarcá,Quindio",4.4273861,-75.7181014,16,10,2024,1,,,,,1,,2,,,1,1,,BICICLETA - MOTOCICLETA,,2,,
743,,1,,"VIA ARMENIA–IBAGUE KM 0+840,Calarcá,Quindio",4.528321,-75.635542,19,10,2024,1,,,,,1,,1,1,,1,,1,CAMIONETA - AUTOMOVIL,,2,,
744,,1,,"VIA LA URIBE - CALRCA KM 82+050 CALARCA,Calarcá,Quindio",4.521705,-75.642912,19,10,2024,,1,,,,,1,2,,,,1,1,MOTOCICLETA - PEATON,,1,,
745,,1,,"ARMENIA - CALARCA,Calarcá,Quindio",4.5257966,-75.6248044,25,10,2024,,1,,,,,1,2,,,1,,1,MOTOCICLETA - PEATON,,1,,
746,,1,,"AVENIDA COLON FRETE AL N° 19+48,Calarcá,Quindio",4.5222917,-75.6478148,01,11,2024,,1,,,,,1,2,,,1,1,,MOTOCICLETA-PEATON,,1,,
747,,,1,"VARIANTE SUR KM 82+920 VIA LA URIBE–CALARCA,Calarcá,Quindio",4.522545,-75.64204,02,11,2024,1,,,,,,1,4,,,3,1,,AUTOMOVIL-CAMION,1,1,,
